transaction_id,date,customer_id,category,product,quantity,price,amount
1,2025-10-17,192,Электроника,Телефон,4,3052.64,12210.56
2,2025-10-17,136,Продукты,Молоко,9,1978.45,17806.05
3,2025-10-19,131,Спорт,Мяч,9,6849.72,61647.48
4,2025-10-24,192,Одежда,Джинсы,2,4419.53,8839.06
5,2025-10-25,137,Спорт,Коврик,1,8992.13,8992.13
6,2025-10-12,116,Электроника,Телефон,9,2425.09,21825.81
7,2025-10-18,147,Одежда,Куртка,3,3487.91,10463.73
8,2025-10-13,128,Книги,Комикс,10,2301.96,23019.6
9,2025-10-27,190,Продукты,Яйца,4,6912.45,27649.8
10,2025-10-29,196,Продукты,Молоко,5,1099.54,5497.7
11,2025-10-26,121,Одежда,Куртка,6,9428.71,56572.26
12,2025-10-11,173,Книги,Роман,5,7723.1,38615.5
13,2025-11-01,179,Спорт,Коврик,1,2856.42,2856.42
14,2025-10-29,160,Электроника,Ноутбук,10,7084.43,70844.3
15,2025-11-05,130,Спорт,Коврик,8,4941.86,39534.88
16,2025-10-26,124,Книги,Учебник,3,9340.11,28020.33
17,2025-10-22,169,Книги,Учебник,2,7917.74,15835.48
18,2025-10-13,162,Спорт,Мяч,2,6796.49,13592.98
19,2025-11-07,122,Одежда,Кроссовки,7,3011.13,21077.91
20,2025-10-17,120,Продукты,Фрукты,1,5117.69,5117.69
21,2025-11-04,117,Электроника,Наушники,8,8307.66,66461.28
22,2025-10-20,106,Одежда,Джинсы,2,1424.9,2849.8
23,2025-11-03,167,Продукты,Молоко,10,9160.13,91601.3
24,2025-10-31,161,Продукты,Яйца,4,5211.35,20845.4
25,2025-10-12,195,Продукты,Фрукты,6,7229.29,43375.74
26,2025-10-26,155,Спорт,Коврик,6,154.64,927.84
27,2025-10-21,193,Электроника,Планшет,1,5211.14,-5211.14
28,2025-10-30,127,Одежда,Футболка,3,3426.82,10280.46
29,2025-10-26,186,Одежда,Джинсы,8,576.0,4608.0
30,2025-11-07,167,Продукты,Молоко,7,189.68,1327.76
31,2025-10-16,121,Электроника,Телефон,5,4803.49,24017.45
32,2025-10-29,100,Одежда,Куртка,1,6838.04,6838.04
33,2025-10-18,131,Спорт,Коврик,4,9717.2,38868.8
34,2025-11-10,168,Продукты,Молоко,7,105.4,737.8
35,2025-10-13,119,Продукты,Фрукты,7,1032.57,7227.99
36,2025-11-08,112,Продукты,Фрукты,1,4818.04,4818.04
37,2025-10-13,129,Спорт,Мяч,9,4198.52,37786.68
38,2025-11-07,106,Одежда,Джинсы,6,4447.51,26685.06
39,2025-10-18,123,Книги,Энциклопедия,5,1229.34,6146.7
40,2025-10-16,110,Продукты,Фрукты,8,2044.23,16353.84
41,2025-10-23,102,Спорт,Скакалка,6,4758.04,-28548.24
42,2025-11-01,127,Спорт,Коврик,6,2908.0,17448.0
43,2025-10-23,157,Спорт,Гантели,9,2411.76,21705.84
44,2025-11-04,139,Продукты,Фрукты,3,6507.97,19523.91
45,2025-10-17,108,Продукты,Фрукты,2,9863.16,19726.32
46,2025-10-26,200,Книги,Энциклопедия,4,9710.32,38841.28
47,2025-11-03,196,Книги,Роман,4,2473.53,9894.12
48,2025-10-27,130,Электроника,Планшет,3,9298.2,27894.6
49,2025-10-16,169,Спорт,Гантели,10,8883.52,88835.2
50,2025-10-16,135,Книги,Энциклопедия,3,1568.01,4704.03
51,2025-11-04,145,Продукты,Хлеб,7,1089.34,7625.38
52,2025-11-10,120,Спорт,Скакалка,3,7208.44,21625.32
53,2025-10-14,159,Одежда,Куртка,8,7808.38,62467.04
54,2025-10-12,156,Одежда,Футболка,10,7073.54,70735.4
55,2025-11-04,179,Книги,Роман,10,4119.62,41196.2
56,2025-11-05,111,Электроника,Ноутбук,4,251.75,1007.0
57,2025-11-09,179,Электроника,Наушники,3,6525.43,19576.29
58,2025-10-20,153,Электроника,Телефон,5,360.24,1801.2
59,2025-10-24,140,Книги,Энциклопедия,2,7957.78,15915.56
60,2025-10-20,112,Книги,Учебник,5,6520.53,32602.65
61,2025-10-13,106,Книги,Учебник,5,8550.05,42750.25
62,2025-10-25,140,Одежда,Куртка,6,8012.22,48073.32
63,2025-10-11,143,Книги,Комикс,5,9468.4,47342.0
64,2025-11-05,178,Книги,Учебник,5,112.62,563.1
65,2025-10-23,128,Книги,Учебник,3,9128.44,27385.32
66,2025-10-15,115,Книги,Учебник,1,7730.17,7730.17
67,2025-10-14,141,Одежда,Кроссовки,1,5679.22,5679.22
68,2025-10-30,111,Продукты,Молоко,5,8959.51,44797.55
69,2025-11-01,155,Продукты,Фрукты,3,8781.56,26344.68
70,2025-10-28,166,Спорт,Коврик,2,9430.14,18860.28
71,2025-10-16,191,Книги,Учебник,8,2362.99,18903.92
72,2025-11-02,168,Одежда,Джинсы,8,8221.62,65772.96
73,2025-11-09,122,Спорт,Гантели,2,5146.7,10293.4
74,2025-11-06,135,Спорт,Скакалка,9,2801.1,25209.9
75,2025-10-31,105,Книги,Учебник,4,3399.75,13599.0
76,2025-10-29,158,Электроника,Планшет,3,5610.78,16832.34
77,2025-10-31,157,Спорт,Гантели,6,6925.02,41550.12
78,2025-10-26,145,Спорт,Гантели,8,4564.11,36512.88
79,2025-11-09,155,Спорт,Коврик,4,5881.79,23527.16
80,2025-10-31,178,Продукты,Молоко,1,7687.57,7687.57
81,2025-11-04,191,Электроника,Планшет,7,471.49,3300.43
82,2025-10-18,164,Спорт,Гантели,3,9290.72,27872.16
83,2025-11-02,116,Продукты,Яйца,2,5120.99,10241.98
84,2025-11-10,111,Одежда,Кроссовки,5,8850.29,-44251.45
85,2025-10-31,139,Продукты,Фрукты,7,1362.48,9537.36
86,2025-10-15,132,Спорт,Гантели,9,465.21,4186.89
87,2025-10-23,165,Продукты,Яйца,3,3515.16,10545.48
88,2025-10-24,135,Продукты,Хлеб,5,2842.08,14210.4
89,2025-11-10,183,Продукты,Фрукты,5,7550.59,37752.95
90,2025-10-31,102,Спорт,Мяч,2,3412.53,6825.06
91,2025-10-14,153,Спорт,Мяч,8,5829.07,46632.56
92,2025-10-27,108,Книги,Энциклопедия,5,4061.5,20307.5
93,2025-10-23,182,Спорт,Коврик,10,530.61,5306.1
94,2025-10-13,172,Книги,Роман,4,2293.78,9175.12
95,2025-11-09,145,Электроника,Наушники,3,509.59,1528.77
96,2025-10-19,167,Спорт,Гантели,1,2683.96,2683.96
97,2025-11-06,168,Электроника,Телефон,1,4670.27,4670.27
98,2025-10-31,158,Одежда,Джинсы,9,6739.77,60657.93
99,2025-10-29,154,Электроника,Телефон,5,4311.04,21555.2
100,2025-11-04,173,Спорт,Гантели,1,2598.84,2598.84
101,2025-11-06,196,Книги,Роман,7,3195.37,22367.59
102,2025-11-03,116,Книги,Учебник,9,7552.24,67970.16
103,2025-11-08,158,Книги,Комикс,5,5757.11,28785.55
104,2025-10-21,136,Книги,Энциклопедия,9,3108.56,27977.04
105,2025-10-17,166,Продукты,Хлеб,6,3860.02,23160.12
106,2025-11-03,152,Одежда,Футболка,9,7737.46,69637.14
107,2025-10-19,153,Продукты,Фрукты,9,9726.44,-87537.96
108,2025-11-10,195,Одежда,Джинсы,9,9388.35,84495.15
109,2025-11-01,188,Продукты,Фрукты,10,9773.65,97736.5
110,2025-10-20,101,Спорт,Коврик,2,3723.65,7447.3
111,2025-11-05,102,Одежда,Футболка,1,843.14,843.14
112,2025-11-07,196,Электроника,Ноутбук,6,9955.22,59731.32
113,2025-11-06,110,Одежда,Джинсы,2,4655.17,9310.34
114,2025-10-18,117,Продукты,Хлеб,1,4096.98,4096.98
115,2025-10-28,171,Электроника,Планшет,1,8443.36,8443.36
116,2025-10-17,160,Продукты,Фрукты,5,6002.66,30013.3
117,2025-10-13,106,Продукты,Яйца,9,1928.64,17357.76
118,2025-10-26,121,Одежда,Куртка,6,2322.9,13937.4
119,2025-10-30,153,Одежда,Куртка,3,3751.47,11254.41
120,2025-10-20,129,Электроника,Наушники,4,9569.5,38278.0
121,2025-10-24,114,Книги,Комикс,7,587.42,4111.94
122,2025-10-20,193,Одежда,Куртка,1,6156.71,6156.71
123,2025-10-14,174,Одежда,Футболка,9,2346.12,21115.08
124,2025-11-03,192,Одежда,Футболка,3,4422.27,13266.81
125,2025-10-11,168,Продукты,Яйца,10,9297.24,92972.4
126,2025-10-24,113,Электроника,Телефон,7,5785.77,40500.39
127,2025-11-10,109,Одежда,Куртка,4,1218.07,4872.28
128,2025-10-18,189,Спорт,Коврик,1,5015.5,5015.5
129,2025-11-07,174,Одежда,Футболка,8,1229.72,9837.76
130,2025-11-08,179,Продукты,Яйца,5,4171.12,20855.6
131,2025-11-07,175,Продукты,Фрукты,3,8807.23,26421.69
132,2025-10-27,154,Электроника,Ноутбук,10,3104.82,31048.2
133,2025-11-03,152,Продукты,Фрукты,1,5507.03,5507.03
134,2025-10-16,186,Одежда,Джинсы,8,8991.85,71934.8
135,2025-10-13,177,Спорт,Скакалка,3,2444.07,7332.21
136,2025-10-27,144,Электроника,Телефон,10,7501.6,75016.0
137,2025-11-07,108,Продукты,Хлеб,10,645.08,6450.8
138,2025-11-02,142,Одежда,Футболка,4,2791.89,11167.56
139,2025-11-03,190,Одежда,Джинсы,8,9691.02,77528.16
140,2025-11-05,187,Продукты,Фрукты,6,368.25,2209.5
141,2025-10-20,144,Книги,Комикс,2,8533.39,17066.78
142,2025-10-17,190,Электроника,Ноутбук,6,6528.97,39173.82
143,2025-10-31,173,Продукты,Яйца,4,8329.98,33319.92
144,2025-10-12,173,Электроника,Наушники,4,9537.67,38150.68
145,2025-10-12,186,Спорт,Мяч,9,3950.01,35550.09
146,2025-10-30,159,Продукты,Хлеб,10,5316.79,53167.9
147,2025-10-15,200,Продукты,Хлеб,1,8781.59,8781.59
148,2025-10-28,128,Спорт,Гантели,8,6874.06,54992.48
149,2025-10-14,188,Спорт,Скакалка,2,1473.69,2947.38
150,2025-10-17,115,Электроника,Телефон,5,8202.02,41010.1
151,2025-11-04,151,Спорт,Гантели,6,3433.48,20600.88
152,2025-11-03,189,Спорт,Скакалка,8,874.36,6994.88
153,2025-10-31,152,Продукты,Молоко,2,4163.52,8327.04
154,2025-10-13,102,Электроника,Планшет,5,8663.02,43315.1
155,2025-10-19,139,Электроника,Ноутбук,6,4549.8,27298.8
156,2025-10-30,150,Книги,Роман,10,7770.15,77701.5
157,2025-10-28,162,Электроника,Планшет,9,6488.61,58397.49
158,2025-11-01,187,Электроника,Ноутбук,6,9195.19,55171.14
159,2025-10-18,105,Одежда,Куртка,4,2780.4,11121.6
160,2025-11-01,111,Электроника,Телефон,6,6661.64,39969.84
161,2025-10-12,146,Одежда,Кроссовки,6,2307.7,13846.2
162,2025-10-20,134,Продукты,Хлеб,2,7797.67,-15595.34
163,2025-10-25,189,Книги,Энциклопедия,5,6158.2,30791.0
164,2025-11-06,122,Продукты,Молоко,6,5792.63,34755.78
165,2025-11-04,191,Одежда,Куртка,7,606.95,4248.65
166,2025-10-29,176,Книги,Роман,1,7494.74,7494.74
167,2025-10-25,128,Одежда,Футболка,8,4814.89,38519.12
168,2025-11-01,156,Спорт,Скакалка,4,3977.37,15909.48
169,2025-11-06,149,Электроника,Ноутбук,8,5102.86,40822.88
170,2025-10-26,156,Продукты,Яйца,4,5847.51,23390.04
171,2025-11-01,177,Спорт,Мяч,2,9572.45,19144.9
172,2025-11-09,172,Продукты,Фрукты,2,6578.27,13156.54
