transaction_id,date,category,product,quantity,price,amount
1,2025-11-07,Электроника,Телефон,3,5829.67,17489.01
2,2025-11-03,Продукты,Молоко,9,7118.08,64062.72
3,2025-10-10,Электроника,Планшет,7,3057.65,21403.55
4,2025-10-20,Продукты,Фрукты,9,8516.17,76645.53
5,2025-11-06,Электроника,Ноутбук,2,1143.38,2286.76
6,2025-10-10,Электроника,Наушники,5,2113.3,10566.5
7,2025-10-14,Одежда,Джинсы,9,3571.69,32145.21
8,2025-11-05,Книги,Комикс,3,8074.35,24223.05
9,2025-10-24,Книги,Комикс,7,2762.38,19336.66
10,2025-10-23,Книги,Энциклопедия,5,5398.15,26990.75
11,2025-10-13,Книги,Роман,8,9089.01,72712.08
12,2025-10-18,Одежда,Кроссовки,1,4412.23,4412.23
13,2025-10-16,Книги,Комикс,3,6087.87,18263.61
14,2025-10-11,Продукты,Молоко,7,8237.08,57659.56
15,2025-10-31,Спорт,Мяч,5,1874.77,9373.85
16,2025-10-30,Спорт,Коврик,7,6575.94,46031.58
17,2025-11-01,Спорт,Скакалка,5,498.08,2490.4
18,2025-10-11,Одежда,Кроссовки,9,1826.72,16440.48
19,2025-10-17,Спорт,Скакалка,5,8008.42,40042.1
20,2025-11-03,Книги,Роман,7,742.45,5197.15
21,2025-11-01,Электроника,Наушники,4,5330.18,21320.72
22,2025-11-08,Продукты,Молоко,8,6243.05,49944.4
23,2025-11-07,Книги,Учебник,3,5909.66,17728.98
24,2025-10-26,Спорт,Скакалка,9,8647.32,77825.88
25,2025-11-02,Электроника,Наушники,1,393.08,393.08
26,2025-11-03,Продукты,Фрукты,2,9205.18,18410.36
27,2025-10-17,Спорт,Коврик,9,5772.39,51951.51
28,2025-10-28,Одежда,Кроссовки,5,2466.17,12330.85
29,2025-11-06,Электроника,Телефон,7,7600.73,53205.11
30,2025-11-01,Одежда,Куртка,3,1583.94,4751.82
31,2025-10-11,Электроника,Телефон,2,7822.53,15645.06
32,2025-10-26,Спорт,Скакалка,5,8997.38,44986.9
33,2025-10-11,Продукты,Фрукты,2,391.25,782.5
34,2025-10-22,Электроника,Ноутбук,3,7753.2,23259.6
35,2025-10-20,Спорт,Скакалка,2,8753.97,17507.94
36,2025-11-02,Спорт,Скакалка,8,5247.55,41980.4
37,2025-11-09,Электроника,Наушники,6,8446.56,50679.36
38,2025-11-09,Книги,Энциклопедия,3,9521.38,28564.14
39,2025-10-28,Электроника,Планшет,5,912.77,4563.85
40,2025-11-09,Одежда,Кроссовки,4,5604.21,22416.84
41,2025-10-17,Спорт,Мяч,7,5086.66,35606.62
42,2025-10-15,Продукты,Яйца,10,5849.63,58496.3
43,2025-10-20,Продукты,Фрукты,6,6861.87,41171.22
44,2025-10-26,Электроника,Ноутбук,5,4888.24,24441.2
45,2025-10-25,Продукты,Фрукты,10,417.84,4178.4
46,2025-11-02,Одежда,Футболка,4,3234.71,12938.84
47,2025-10-30,Одежда,Куртка,8,3375.06,27000.48
48,2025-10-25,Одежда,Футболка,4,1766.43,7065.72
49,2025-10-30,Электроника,Планшет,8,2704.36,21634.88
50,2025-11-08,Одежда,Куртка,10,8064.66,80646.6
51,2025-10-19,Электроника,Телефон,10,1623.06,16230.6
52,2025-10-14,Продукты,Яйца,4,3171.0,12684.0
53,2025-11-06,Электроника,Ноутбук,9,6546.51,58918.59
54,2025-11-05,Электроника,Телефон,3,8354.4,25063.2
55,2025-10-11,Спорт,Гантели,1,9136.87,9136.87
56,2025-10-18,Спорт,Мяч,2,8813.22,17626.44
57,2025-10-20,Спорт,Скакалка,2,4144.22,8288.44
58,2025-11-02,Спорт,Гантели,10,1188.33,11883.3
59,2025-11-05,Книги,Комикс,5,4423.91,22119.55
60,2025-10-23,Одежда,Куртка,2,1738.27,3476.54
61,2025-10-17,Книги,Роман,10,1713.02,17130.2
62,2025-10-30,Продукты,Фрукты,1,4228.16,4228.16
63,2025-11-08,Одежда,Куртка,7,2256.36,15794.52
64,2025-10-21,Продукты,Хлеб,6,4558.86,27353.16
65,2025-10-14,Одежда,Кроссовки,7,9124.99,63874.93
66,2025-10-12,Спорт,Коврик,7,1611.38,11279.66
67,2025-10-26,Одежда,Джинсы,3,8102.15,24306.45
68,2025-10-20,Одежда,Кроссовки,2,415.96,831.92
69,2025-10-23,Книги,Энциклопедия,7,5486.1,38402.7
70,2025-10-11,Одежда,Кроссовки,3,7314.52,21943.56
71,2025-10-20,Спорт,Коврик,2,5380.4,10760.8
72,2025-11-06,Одежда,Джинсы,6,9513.42,57080.52
73,2025-10-28,Продукты,Молоко,1,2685.84,2685.84
74,2025-10-25,Продукты,Хлеб,2,3938.8,7877.6
75,2025-10-16,Одежда,Джинсы,5,1205.02,6025.1
76,2025-11-09,Спорт,Скакалка,1,4291.58,4291.58
77,2025-10-29,Продукты,Яйца,1,4829.18,4829.18
78,2025-10-28,Одежда,Джинсы,9,4369.28,39323.52
79,2025-10-28,Книги,Роман,1,8165.36,8165.36
80,2025-10-19,Спорт,Гантели,3,2191.48,6574.44
81,2025-10-11,Электроника,Ноутбук,1,9210.79,-9210.79
82,2025-10-27,Спорт,Коврик,9,9784.19,88057.71
83,2025-11-03,Электроника,Планшет,4,2679.6,10718.4
84,2025-10-21,Электроника,Наушники,7,2819.75,19738.25
85,2025-10-30,Электроника,Наушники,5,4996.55,24982.75
86,2025-11-04,Продукты,Хлеб,8,9527.57,76220.56
87,2025-10-10,Электроника,Телефон,2,3666.85,7333.7
88,2025-10-13,Одежда,Кроссовки,3,9346.64,28039.92
89,2025-10-21,Спорт,Гантели,3,933.76,2801.28
90,2025-10-16,Электроника,Наушники,9,5462.24,49160.16
91,2025-10-13,Книги,Энциклопедия,10,2814.67,28146.7
92,2025-10-11,Спорт,Коврик,4,5519.09,-22076.36
93,2025-10-24,Одежда,Куртка,4,7485.99,29943.96
94,2025-10-28,Спорт,Скакалка,5,4353.8,21769.0
95,2025-11-05,Одежда,Джинсы,9,390.1,3510.9
96,2025-10-16,Одежда,Футболка,4,807.86,3231.44
97,2025-10-29,Книги,Комикс,9,9483.73,85353.57
98,2025-10-26,Одежда,Джинсы,8,6940.53,55524.24
99,2025-10-10,Продукты,Молоко,10,6246.42,62464.2
100,2025-10-18,Книги,Комикс,10,8562.58,85625.8
101,2025-11-04,Продукты,Яйца,3,9391.95,28175.85
102,2025-11-07,Продукты,Молоко,7,7458.81,52211.67
103,2025-10-22,Спорт,Коврик,10,9554.52,95545.2
104,2025-10-14,Книги,Комикс,10,4752.4,47524.0
105,2025-10-15,Спорт,Гантели,9,6470.01,58230.09
106,2025-11-02,Спорт,Скакалка,3,3561.46,10684.38
107,2025-10-21,Спорт,Скакалка,1,5534.38,5534.38
108,2025-10-11,Продукты,Фрукты,5,3732.38,18661.9
109,2025-11-08,Спорт,Коврик,2,4277.87,8555.74
110,2025-10-17,Спорт,Скакалка,7,4018.11,28126.77
111,2025-11-09,Спорт,Гантели,5,5230.34,26151.7
112,2025-11-03,Книги,Роман,10,9470.84,94708.4
113,2025-10-24,Книги,Учебник,9,3338.61,30047.49
114,2025-10-31,Электроника,Ноутбук,4,7521.95,30087.8
115,2025-10-18,Одежда,Кроссовки,8,9649.52,77196.16
