loco_id,series,number,depot,loco_type,traction_type,year_built,status,max_speed_kmh,power_kw,fuel_tank_l
L001,ВЛ80С,1847,ТЧЭ-15,грузовой,электрическая,1988,в_работе,110,6160,0
L002,ВЛ80С,1923,ТЧЭ-15,грузовой,электрическая,1991,в_работе,110,6160,0
L003,ВЛ80С,2041,ТЧЭ-15,грузовой,электрическая,1985,ТО,110,6160,0
L004,ВЛ80С,2108,ТЧЭ-15,грузовой,электрическая,1990,в_работе,110,6160,0
L005,ВЛ80С,2234,ТЧЭ-16,грузовой,электрическая,1987,ТР,110,6160,0
L006,ВЛ80С,2315,ТЧЭ-16,грузовой,электрическая,1992,в_работе,110,6160,0
L007,ВЛ80С,2467,ТЧЭ-17,грузовой,электрическая,1989,резерв,110,6160,0
L008,ВЛ80С,2589,ТЧЭ-17,грузовой,электрическая,1993,в_работе,110,6160,0
L009,ЭП2К,0154,ТЧЭ-15,пассажирский,электрическая,2008,в_работе,160,4700,0
L010,ЭП2К,0271,ТЧЭ-15,пассажирский,электрическая,2011,в_работе,160,4700,0
L011,ЭП2К,0389,ТЧЭ-16,пассажирский,электрическая,2014,ТО,160,4700,0
L012,ЭП2К,0412,ТЧЭ-17,пассажирский,электрическая,2016,в_работе,160,4700,0
L013,ЭП1М,0523,ТЧЭ-15,пассажирский,электрическая,2009,в_работе,160,5000,0
L014,ЭП1М,0614,ТЧЭ-16,пассажирский,электрическая,2012,резерв,160,5000,0
L015,ЭП1М,0738,ТЧЭ-17,пассажирский,электрическая,2015,в_работе,160,5000,0
L016,2ТЭ116,0847,ТЧЭ-15,грузовой,дизельная,1997,в_работе,100,2240,6000
L017,2ТЭ116,0963,ТЧЭ-15,грузовой,дизельная,2001,ТО,100,2240,6000
L018,2ТЭ116,1072,ТЧЭ-16,грузовой,дизельная,1999,в_работе,100,2240,6000
L019,2ТЭ116,1185,ТЧЭ-17,грузовой,дизельная,2003,ТР,100,2240,6000
L020,2ТЭ116,1294,ТЧЭ-17,грузовой,дизельная,2005,в_работе,100,2240,6000
L021,ЧМЭ3,4512,ТЧЭ-15,маневровый,дизельная,1985,в_работе,95,993,3000
L022,ЧМЭ3,4638,ТЧЭ-16,маневровый,дизельная,1988,резерв,95,993,3000
L023,ЧМЭ3,4751,ТЧЭ-17,маневровый,дизельная,1983,ТО,95,993,3000
L024,ЭС2Г,0023,ТЧЭ-15,пригородный,электрическая,2019,в_работе,160,5760,0
L025,ЭС2Г,0047,ТЧЭ-15,пригородный,электрическая,2021,в_работе,160,5760,0
