sample_id,timestamp,mine_section,equipment_id,iron_content_pct,moisture_pct,sulfur_pct,particle_size_mm,quality_grade,shift_number
OQ0114,2024-01-15 00:03:07,Блок-1,EQ002,63.29,7.74,0.421,124.7,Б,3
OQ0097,2024-01-15 00:30:25,Блок-2,EQ008,60.02,5.84,0.421,108.4,Б,3
OQ0036,2024-01-15 00:33:21,Блок-2,EQ010,61.76,11.36,0.188,98.3,Б,3
OQ0074,2024-01-15 01:03:18,Блок-1,EQ007,60.27,7.55,0.182,147.8,Б,3
OQ0046,2024-01-15 01:08:43,Блок-2,EQ004,59.4,6.21,0.239,110.2,В,3
OQ0077,2024-01-15 01:26:31,Блок-1,EQ002,62.4,7.8,0.067,8.3,Б,3
OQ0062,2024-01-15 04:54:09,Блок-1,EQ002,62.96,10.61,0.083,129.2,Б,3
OQ0067,2024-01-15 05:17:25,Блок-1,EQ007,62.97,8.54,0.441,79.6,Б,3
OQ0113,2024-01-15 06:21:09,Блок-2,EQ004,63.85,11.27,0.239,90.1,Б,3
OQ0015,2024-01-15 06:34:18,Блок-2,EQ010,57.89,8.46,0.137,46.7,В,3
OQ0025,2024-01-15 07:25:39,Блок-1,EQ002,64.93,6.04,0.151,55.4,Б,3
OQ0007,2024-01-15 17:21:36,Блок-3,EQ005,55.42,10.44,0.236,138.9,В,2
OQ0004,2024-01-15 18:01:07,Блок-1,EQ009,64.64,5.35,0.138,85.7,Б,2
OQ0063,2024-01-15 19:24:18,Блок-1,EQ007,64.29,7.37,0.271,139.4,Б,2
OQ0099,2024-01-15 22:15:11,Блок-2,EQ008,63.74,10.98,0.162,12.5,Б,2
OQ0009,2024-01-15 23:50:31,Блок-1,EQ007,57.46,10.11,0.165,147.1,В,2
OQ0019,2024-01-16 00:10:15,Блок-2,EQ004,62.13,5.08,0.382,31.4,Б,3
OQ0076,2024-01-16 00:26:05,Блок-2,EQ010,61.11,6.95,0.312,41.0,Б,3
OQ0003,2024-01-16 02:25:19,Блок-3,EQ013,55.0,5.87,0.139,96.0,В,3
OQ0108,2024-01-16 02:25:21,Блок-2,EQ004,55.33,7.39,0.086,39.7,В,3
OQ0057,2024-01-16 02:51:12,Блок-2,EQ008,63.15,8.08,0.057,53.1,Б,3
OQ0024,2024-01-16 05:49:12,Блок-1,EQ001,68.0,8.97,0.265,142.6,А,3
OQ0006,2024-01-16 06:01:01,Блок-3,EQ005,60.02,7.61,0.269,14.1,Б,3
OQ0083,2024-01-16 06:33:32,Блок-1,EQ009,64.14,9.39,0.3,103.7,Б,3
OQ0118,2024-01-16 08:39:39,Блок-1,EQ002,60.81,5.49,0.26,89.5,Б,1
OQ0010,2024-01-16 10:23:20,Блок-3,EQ013,57.7,7.93,0.353,27.0,В,1
OQ0091,2024-01-16 10:30:59,Блок-3,EQ013,60.67,11.55,0.057,71.6,Б,1
OQ0037,2024-01-16 10:55:28,Блок-1,EQ009,63.34,8.35,0.121,119.4,Б,1
OQ0041,2024-01-16 14:09:06,Блок-1,EQ001,68.0,9.55,0.261,140.4,А,1
OQ0005,2024-01-16 14:47:23,Блок-1,EQ007,59.78,9.0,0.274,103.9,В,1
OQ0096,2024-01-16 16:59:02,Блок-1,EQ009,62.53,7.41,0.176,126.8,Б,2
OQ0080,2024-01-16 18:09:43,Блок-1,EQ001,58.52,10.77,0.336,79.4,В,2
OQ0040,2024-01-16 18:34:34,Блок-2,EQ010,58.49,9.6,0.19,84.6,В,2
OQ0029,2024-01-16 18:42:03,Блок-3,EQ013,62.11,7.09,0.307,18.2,Б,2
OQ0054,2024-01-16 20:59:09,Блок-2,EQ008,60.82,6.0,0.403,145.3,Б,2
OQ0079,2024-01-16 21:13:13,Блок-1,EQ009,62.86,8.46,0.164,94.7,Б,2
OQ0028,2024-01-16 23:01:20,Блок-3,EQ013,58.61,5.16,0.43,81.6,В,2
OQ0065,2024-01-16 23:01:31,Блок-1,EQ007,64.09,7.18,0.172,115.1,Б,2
OQ0106,2024-01-16 23:05:09,Блок-1,EQ002,63.53,6.46,0.412,77.1,Б,2
OQ0101,2024-01-17 07:17:51,Блок-2,EQ008,60.58,5.2,0.355,63.0,Б,3
OQ0032,2024-01-17 08:50:25,Блок-3,EQ005,56.3,10.73,0.346,37.9,В,1
OQ0088,2024-01-17 09:45:22,Блок-1,EQ002,61.68,9.2,0.183,99.5,Б,1
OQ0093,2024-01-17 13:22:24,Блок-1,EQ002,61.29,8.67,0.431,24.2,Б,1
OQ0055,2024-01-17 15:57:34,Блок-1,EQ002,60.18,11.93,0.383,28.4,Б,1
OQ0107,2024-01-17 16:05:13,Блок-2,EQ010,66.99,8.15,0.106,32.9,А,2
OQ0059,2024-01-17 18:34:16,Блок-1,EQ002,64.22,11.34,0.123,114.6,Б,2
OQ0082,2024-01-17 18:58:30,Блок-1,EQ002,64.84,5.22,0.103,57.3,Б,2
