record_id,shift_date,shift_number,mine_section,equipment_id,ore_tons,cycle_count,operating_hours,downtime_hours,downtime_reason
PR0001,2024-01-15,1,Блок-1,EQ001,244.2,35,7.08,0.92,поломка
PR0002,2024-01-15,1,Блок-1,EQ002,288.6,28,7.03,0.97,поломка
PR0003,2024-01-15,1,Блок-1,EQ007,131.3,17,6.72,1.28,ТО плановое
PR0004,2024-01-15,1,Блок-1,EQ009,382.5,12,7.43,0.57,ожидание взрывных работ
PR0005,2024-01-15,1,Блок-2,EQ004,270.6,33,5.7,2.3,ожидание взрывных работ
PR0006,2024-01-15,1,Блок-2,EQ008,307.8,33,7.21,0.79,ожидание взрывных работ
PR0007,2024-01-15,1,Блок-2,EQ010,469.5,39,6.04,1.96,ожидание взрывных работ
PR0008,2024-01-15,1,Блок-3,EQ013,303.8,28,7.01,0.99,пересменка
PR0009,2024-01-15,2,Блок-1,EQ001,112.4,29,7.22,0.78,пересменка
PR0010,2024-01-15,2,Блок-1,EQ002,123.1,19,6.17,1.83,ожидание взрывных работ
PR0011,2024-01-15,2,Блок-1,EQ007,147.2,12,6.1,1.9,нет вагонеток
PR0012,2024-01-15,2,Блок-1,EQ009,270.7,24,6.04,1.96,ожидание взрывных работ
PR0013,2024-01-15,2,Блок-2,EQ004,231.0,22,6.49,1.51,пересменка
PR0014,2024-01-15,2,Блок-2,EQ008,288.2,15,6.48,1.52,поломка
PR0015,2024-01-15,2,Блок-2,EQ010,333.5,28,7.11,0.89,поломка
PR0016,2024-01-15,2,Блок-3,EQ005,140.3,32,7.19,0.81,ожидание взрывных работ
PR0017,2024-01-15,2,Блок-3,EQ013,312.4,20,7.46,0.54,нет вагонеток
PR0018,2024-01-15,3,Блок-1,EQ001,286.8,9,6.64,1.36,нет вагонеток
PR0019,2024-01-15,3,Блок-1,EQ002,219.9,26,5.59,2.41,ожидание взрывных работ
PR0020,2024-01-15,3,Блок-1,EQ007,269.0,25,5.94,2.06,ТО плановое
PR0021,2024-01-15,3,Блок-2,EQ004,222.8,33,6.49,1.51,нет вагонеток
PR0022,2024-01-15,3,Блок-2,EQ008,278.1,28,7.73,0.27,
PR0023,2024-01-15,3,Блок-2,EQ010,499.4,19,5.51,2.49,пересменка
PR0024,2024-01-15,3,Блок-3,EQ005,223.3,10,6.12,1.88,пересменка
PR0025,2024-01-15,3,Блок-3,EQ013,210.7,32,7.46,0.54,ожидание взрывных работ
PR0026,2024-01-16,1,Блок-1,EQ001,207.9,34,6.79,1.21,пересменка
PR0027,2024-01-16,1,Блок-1,EQ002,271.7,20,5.98,2.02,нет вагонеток
PR0028,2024-01-16,1,Блок-1,EQ007,115.1,21,5.86,2.14,поломка
PR0029,2024-01-16,1,Блок-1,EQ009,306.7,27,6.85,1.15,нет вагонеток
PR0030,2024-01-16,1,Блок-2,EQ004,164.2,9,5.97,2.03,ожидание взрывных работ
PR0031,2024-01-16,1,Блок-2,EQ008,262.0,27,5.7,2.3,ТО плановое
PR0032,2024-01-16,1,Блок-2,EQ010,334.9,36,6.2,1.8,ожидание взрывных работ
PR0033,2024-01-16,1,Блок-3,EQ005,308.4,12,6.71,1.29,ТО плановое
PR0034,2024-01-16,1,Блок-3,EQ013,265.5,31,7.39,0.61,нет вагонеток
PR0035,2024-01-16,2,Блок-1,EQ001,110.8,19,5.58,2.42,пересменка
PR0036,2024-01-16,2,Блок-1,EQ002,317.6,9,7.52,0.48,
PR0037,2024-01-16,2,Блок-1,EQ007,312.2,9,6.18,1.82,ожидание взрывных работ
PR0038,2024-01-16,2,Блок-1,EQ009,421.9,12,7.54,0.46,
PR0039,2024-01-16,2,Блок-2,EQ010,479.6,16,5.71,2.29,ожидание взрывных работ
PR0040,2024-01-16,2,Блок-3,EQ005,91.3,15,7.39,0.61,поломка
PR0041,2024-01-16,2,Блок-3,EQ013,332.2,37,7.62,0.38,
PR0042,2024-01-16,3,Блок-1,EQ001,295.4,11,7.43,0.57,нет вагонеток
PR0043,2024-01-16,3,Блок-1,EQ002,275.0,25,6.73,1.27,пересменка
PR0044,2024-01-16,3,Блок-1,EQ007,151.5,10,7.71,0.29,
PR0045,2024-01-16,3,Блок-1,EQ009,250.1,12,7.64,0.36,
PR0046,2024-01-16,3,Блок-2,EQ004,287.9,18,7.15,0.85,пересменка
PR0047,2024-01-16,3,Блок-2,EQ008,241.8,30,7.75,0.25,
PR0048,2024-01-16,3,Блок-2,EQ010,232.8,31,7.25,0.75,пересменка
PR0049,2024-01-16,3,Блок-3,EQ013,435.4,40,6.12,1.88,ожидание взрывных работ
PR0050,2024-01-17,1,Блок-1,EQ001,142.2,18,5.57,2.43,поломка
PR0051,2024-01-17,1,Блок-1,EQ007,284.8,21,7.46,0.54,поломка
PR0052,2024-01-17,1,Блок-2,EQ004,142.7,22,6.61,1.39,нет вагонеток
PR0053,2024-01-17,1,Блок-2,EQ010,312.7,42,5.95,2.05,поломка
PR0054,2024-01-17,1,Блок-3,EQ005,195.7,24,7.58,0.42,
PR0055,2024-01-17,1,Блок-3,EQ013,376.7,31,5.74,2.26,ТО плановое
PR0056,2024-01-17,2,Блок-1,EQ002,280.3,14,6.7,1.3,пересменка
PR0057,2024-01-17,2,Блок-1,EQ007,266.5,29,6.72,1.28,поломка
PR0058,2024-01-17,2,Блок-1,EQ009,395.1,44,6.92,1.08,пересменка
PR0059,2024-01-17,2,Блок-2,EQ008,225.9,15,6.62,1.38,ожидание взрывных работ
PR0060,2024-01-17,2,Блок-2,EQ010,334.8,33,5.52,2.48,поломка
