record_id,date,train_number,section,planned_time_min,actual_time_min,delay_min,cause_code,cause_description,shift_number
SA001,2024-03-01,3407,Новосибирск-Барабинск,180,183,3,01,нет причин,1
SA002,2024-03-01,3407,Барабинск-Омск,200,205,5,01,нет причин,1
SA003,2024-03-01,002,Новосибирск-Барабинск,175,177,2,01,нет причин,1
SA004,2024-03-01,002,Барабинск-Омск,193,194,1,01,нет причин,1
SA005,2024-03-01,3512,Новосибирск-Барнаул,135,152,17,04,перегруженность участка,1
SA006,2024-03-01,6301,Новосибирск-Бердск,45,48,3,01,нет причин,1
SA007,2024-03-01,3601,Новосибирск-Барабинск,180,180,0,01,нет причин,2
SA008,2024-03-01,3601,Барабинск-Омск,200,200,0,01,нет причин,2
SA009,2024-03-01,006,Омск-Барабинск,193,198,5,01,нет причин,1
SA010,2024-03-01,006,Барабинск-Новосибирск,175,182,7,05,неблагоприятные погодные условия,2
SA011,2024-03-01,3708,Новосибирск-Кемерово,185,183,0,01,нет причин,2
SA012,2024-03-01,4002,Новосибирск-Барабинск,180,180,0,01,нет причин,2
SA013,2024-03-01,4002,Барабинск-Омск,200,198,0,01,нет причин,2
SA014,2024-03-01,4115,Новосибирск-Кемерово,185,207,22,02,неисправность локомотива,2
SA015,2024-03-01,6305,Новосибирск-Бердск,45,45,0,01,нет причин,2
SA016,2024-03-01,3815,Омск-Тюмень,240,287,47,04,перегруженность участка,2
SA017,2024-03-01,4203,Омск-Барабинск,193,202,9,01,нет причин,3
SA018,2024-03-01,4203,Барабинск-Новосибирск,175,175,0,01,нет причин,3
SA019,2024-03-01,4307,Барнаул-Новосибирск,135,137,2,01,нет причин,3
SA020,2024-03-01,4412,Омск-Тюмень,240,298,58,03,технологические работы,3
SA021,2024-03-02,4703,Новосибирск-Барнаул,135,135,0,01,нет причин,1
SA022,2024-03-02,4801,Омск-Барабинск,193,280,87,02,неисправность локомотива,1
SA023,2024-03-02,4801,Барабинск-Новосибирск,175,180,5,01,нет причин,1
SA024,2024-03-02,016,Новосибирск-Барабинск,175,181,6,01,нет причин,1
SA025,2024-03-02,016,Барабинск-Омск,193,195,2,01,нет причин,1
SA026,2024-03-02,4912,Новосибирск-Барабинск,180,180,0,01,нет причин,1
SA027,2024-03-02,018,Омск-Барабинск,193,197,4,01,нет причин,1
SA028,2024-03-02,018,Барабинск-Новосибирск,175,176,1,01,нет причин,2
SA029,2024-03-02,5003,Новосибирск-Кемерово,185,220,35,06,неисправность инфраструктуры,1
SA030,2024-03-02,5108,Кемерово-Новосибирск,185,184,0,01,нет причин,1
SA031,2024-03-02,6307,Новосибирск-Бердск,45,47,2,01,нет причин,1
SA032,2024-03-02,5205,Новосибирск-Барабинск,180,198,18,04,перегруженность участка,2
SA033,2024-03-02,5301,Омск-Тюмень,240,240,0,01,нет причин,2
SA034,2024-03-02,5412,Барнаул-Новосибирск,135,136,1,01,нет причин,2
SA035,2024-03-02,020,Новосибирск-Барнаул,135,142,7,01,нет причин,2
SA036,2024-03-02,6311,Бердск-Новосибирск,45,45,0,01,нет причин,2
SA037,2024-03-02,5503,Новосибирск-Барабинск,180,255,75,02,неисправность локомотива,3
SA038,2024-03-02,5503,Барабинск-Омск,200,205,5,01,нет причин,3
SA039,2024-03-03,5601,Новосибирск-Барабинск,180,180,0,01,нет причин,1
SA040,2024-03-03,5601,Барабинск-Омск,200,200,0,01,нет причин,1
SA041,2024-03-03,022,Омск-Барабинск,193,202,9,01,нет причин,1
SA042,2024-03-03,022,Барабинск-Новосибирск,175,175,0,01,нет причин,1
SA043,2024-03-03,5706,Новосибирск-Барнаул,135,135,0,01,нет причин,1
SA044,2024-03-03,5801,Омск-Тюмень,240,242,2,01,нет причин,1
SA045,2024-03-03,5902,Новосибирск-Кемерово,185,185,0,01,нет причин,2
SA046,2024-03-03,024,Новосибирск-Барабинск,175,175,0,01,нет причин,2
SA047,2024-03-03,6001,Барнаул-Новосибирск,135,211,76,02,неисправность локомотива,2
SA048,2024-03-03,6102,Новосибирск-Барабинск,180,185,5,01,нет причин,2
SA049,2024-03-03,6315,Новосибирск-Бердск,45,45,0,01,нет причин,2
SA050,2024-03-03,6205,Кемерово-Новосибирск,185,187,2,01,нет причин,3
SA051,2024-03-04,6301,Новосибирск-Барнаул,135,135,0,01,нет причин,1
SA052,2024-03-04,6408,Омск-Барабинск,193,211,18,04,перегруженность участка,1
SA053,2024-03-04,6408,Барабинск-Новосибирск,175,176,1,01,нет причин,1
SA054,2024-03-04,6503,Новосибирск-Барабинск,180,180,0,01,нет причин,1
SA055,2024-03-04,026,Новосибирск-Барнаул,135,139,4,01,нет причин,1
SA056,2024-03-04,028,Омск-Барабинск,193,199,6,01,нет причин,1
SA057,2024-03-04,028,Барабинск-Новосибирск,175,175,0,01,нет причин,2
SA058,2024-03-04,6705,Новосибирск-Кемерово,185,220,35,03,технологические работы,2
SA059,2024-03-04,6801,Омск-Тюмень,240,240,0,01,нет причин,2
SA060,2024-03-04,6902,Барнаул-Новосибирск,135,137,2,01,нет причин,2
SA061,2024-03-04,6319,Новосибирск-Бердск,45,47,2,01,нет причин,2
SA062,2024-03-04,6323,Бердск-Новосибирск,45,45,0,01,нет причин,3
SA063,2024-03-05,7001,Новосибирск-Барабинск,180,180,0,01,нет причин,1
SA064,2024-03-05,7001,Барабинск-Омск,200,200,0,01,нет причин,1
SA065,2024-03-05,7108,Омск-Барабинск,193,193,0,01,нет причин,1
SA066,2024-03-05,7108,Барабинск-Новосибирск,175,173,0,01,нет причин,1
SA067,2024-03-05,030,Новосибирск-Барабинск,175,183,8,05,неблагоприятные погодные условия,1
SA068,2024-03-05,030,Барабинск-Омск,193,194,1,01,нет причин,1
SA069,2024-03-05,7203,Новосибирск-Барнаул,135,136,1,01,нет причин,1
SA070,2024-03-05,7301,Кемерово-Новосибирск,185,185,0,01,нет причин,2
SA071,2024-03-05,7408,Новосибирск-Барабинск,180,237,57,06,неисправность инфраструктуры,2
SA072,2024-03-05,032,Новосибирск-Барнаул,135,139,4,01,нет причин,2
SA073,2024-03-05,6327,Новосибирск-Бердск,45,45,0,01,нет причин,2
SA074,2024-03-05,7502,Омск-Тюмень,240,270,30,04,перегруженность участка,2
SA075,2024-03-05,7601,Новосибирск-Барабинск,180,183,3,01,нет причин,3
SA076,2024-03-05,7601,Барабинск-Омск,200,200,0,01,нет причин,3
SA077,2024-03-06,7705,Новосибирск-Кемерово,185,185,0,01,нет причин,1
SA078,2024-03-06,7802,Омск-Барабинск,193,195,2,01,нет причин,1
SA079,2024-03-06,7802,Барабинск-Новосибирск,175,175,0,01,нет причин,1
SA080,2024-03-06,034,Новосибирск-Барабинск,175,175,0,01,нет причин,1
SA081,2024-03-06,7901,Новосибирск-Барабинск,180,181,1,01,нет причин,1
SA082,2024-03-06,8004,Барнаул-Новосибирск,135,136,1,01,нет причин,2
SA083,2024-03-06,036,Омск-Барабинск,193,199,6,01,нет причин,2
SA084,2024-03-06,036,Барабинск-Новосибирск,175,175,0,01,нет причин,2
SA085,2024-03-06,6331,Новосибирск-Бердск,45,46,1,01,нет причин,2
SA086,2024-03-06,8105,Новосибирск-Барнаул,135,135,0,01,нет причин,2
SA087,2024-03-06,8201,Омск-Тюмень,240,320,80,02,неисправность локомотива,3
SA088,2024-03-07,8302,Новосибирск-Барабинск,180,180,0,01,нет причин,1
SA089,2024-03-07,8302,Барабинск-Омск,200,200,0,01,нет причин,1
SA090,2024-03-07,8407,Омск-Барабинск,193,198,5,01,нет причин,1
SA091,2024-03-07,8407,Барабинск-Новосибирск,175,175,0,01,нет причин,1
SA092,2024-03-07,038,Новосибирск-Барнаул,135,135,0,01,нет причин,1
SA093,2024-03-07,8503,Новосибирск-Кемерово,185,185,0,01,нет причин,1
SA094,2024-03-07,6335,Новосибирск-Бердск,45,48,3,01,нет причин,2
SA095,2024-03-07,8605,Новосибирск-Барабинск,180,180,0,01,нет причин,2
SA096,2024-03-01,3601,Барабинск-Омск,200,204,4,05,неблагоприятные погодные условия,2
SA097,2024-03-02,5205,Барабинск-Омск,200,219,19,04,перегруженность участка,2
SA098,2024-03-03,6102,Барабинск-Омск,200,206,6,01,нет причин,2
SA099,2024-03-04,6503,Барабинск-Омск,200,200,0,01,нет причин,1
SA100,2024-03-05,7001,Новосибирск-Инская,25,25,0,01,нет причин,1
