reading_id,loco_id,timestamp,sensor_type,value,unit,quality_flag
SR001,L001,2024-03-01 00:00:00,speed_kmh,72,км/ч,1
SR002,L001,2024-03-01 00:00:00,buxa_temp_c,42,°C,1
SR003,L001,2024-03-01 00:00:00,traction_current_a,380,А,1
SR004,L001,2024-03-01 00:00:00,catenary_voltage_v,2850,В,1
SR005,L001,2024-03-01 03:00:00,speed_kmh,85,км/ч,1
SR006,L001,2024-03-01 03:00:00,buxa_temp_c,48,°C,1
SR007,L001,2024-03-01 03:00:00,traction_current_a,420,А,1
SR008,L001,2024-03-01 03:00:00,catenary_voltage_v,2920,В,1
SR009,L002,2024-03-01 01:00:00,speed_kmh,0,км/ч,1
SR010,L002,2024-03-01 01:00:00,buxa_temp_c,25,°C,1
SR011,L002,2024-03-01 01:00:00,traction_current_a,0,А,1
SR012,L002,2024-03-01 01:00:00,catenary_voltage_v,3100,В,1
SR013,L002,2024-03-01 07:00:00,speed_kmh,95,км/ч,1
SR014,L002,2024-03-01 07:00:00,buxa_temp_c,55,°C,1
SR015,L002,2024-03-01 07:00:00,traction_current_a,510,А,1
SR016,L002,2024-03-01 07:00:00,catenary_voltage_v,2780,В,1
SR017,L004,2024-03-01 02:00:00,speed_kmh,60,км/ч,1
SR018,L004,2024-03-01 02:00:00,buxa_temp_c,38,°C,1
SR019,L004,2024-03-01 02:00:00,traction_current_a,290,А,1
SR020,L004,2024-03-01 02:00:00,catenary_voltage_v,3050,В,1
SR021,L009,2024-03-01 00:30:00,speed_kmh,140,км/ч,1
SR022,L009,2024-03-01 00:30:00,buxa_temp_c,52,°C,1
SR023,L009,2024-03-01 00:30:00,traction_current_a,620,А,1
SR024,L009,2024-03-01 00:30:00,catenary_voltage_v,3800,В,1
SR025,L009,2024-03-01 06:00:00,speed_kmh,155,км/ч,1
SR026,L009,2024-03-01 06:00:00,buxa_temp_c,61,°C,1
SR027,L009,2024-03-01 06:00:00,traction_current_a,710,А,0
SR028,L009,2024-03-01 06:00:00,catenary_voltage_v,3650,В,1
SR029,L016,2024-03-01 01:00:00,speed_kmh,78,км/ч,1
SR030,L016,2024-03-01 01:00:00,buxa_temp_c,44,°C,1
SR031,L016,2024-03-01 01:00:00,fuel_consumption_lh,125,л/ч,1
SR032,L016,2024-03-01 01:00:00,engine_hours,14872,ч,1
SR033,L016,2024-03-01 05:00:00,speed_kmh,88,км/ч,1
SR034,L016,2024-03-01 05:00:00,buxa_temp_c,51,°C,1
SR035,L016,2024-03-01 05:00:00,fuel_consumption_lh,148,л/ч,1
SR036,L016,2024-03-01 05:00:00,engine_hours,14876,ч,1
SR037,L021,2024-03-01 08:00:00,speed_kmh,22,км/ч,1
SR038,L021,2024-03-01 08:00:00,buxa_temp_c,30,°C,1
SR039,L021,2024-03-01 08:00:00,fuel_consumption_lh,42,л/ч,1
SR040,L021,2024-03-01 08:00:00,engine_hours,28450,ч,1
SR041,L001,2024-03-01 09:00:00,speed_kmh,100,км/ч,1
SR042,L001,2024-03-01 09:00:00,buxa_temp_c,58,°C,1
SR043,L001,2024-03-01 09:00:00,traction_current_a,460,А,1
SR044,L001,2024-03-01 09:00:00,catenary_voltage_v,2950,В,1
SR045,L002,2024-03-01 12:00:00,speed_kmh,0,км/ч,1
SR046,L002,2024-03-01 12:00:00,buxa_temp_c,35,°C,1
SR047,L002,2024-03-01 12:00:00,traction_current_a,0,А,1
SR048,L002,2024-03-01 12:00:00,catenary_voltage_v,3200,В,0
SR049,L010,2024-03-01 04:00:00,speed_kmh,150,км/ч,1
SR050,L010,2024-03-01 04:00:00,buxa_temp_c,63,°C,1
SR051,L010,2024-03-01 04:00:00,traction_current_a,680,А,1
SR052,L010,2024-03-01 04:00:00,catenary_voltage_v,3720,В,1
SR053,L013,2024-03-01 03:30:00,speed_kmh,145,км/ч,1
SR054,L013,2024-03-01 03:30:00,buxa_temp_c,57,°C,1
SR055,L013,2024-03-01 03:30:00,traction_current_a,590,А,1
SR056,L013,2024-03-01 03:30:00,catenary_voltage_v,3580,В,1
SR057,L018,2024-03-01 02:00:00,speed_kmh,92,км/ч,1
SR058,L018,2024-03-01 02:00:00,buxa_temp_c,46,°C,1
SR059,L018,2024-03-01 02:00:00,fuel_consumption_lh,138,л/ч,1
